step,layer,event,x,gate
0,L0,GATE_HOLD,50953667,G0_HOLD
0,L1,STEP_NORM,1999545260,L1_N
0,L2,FLOW,1999545260,L2_F
0,L3,KEEP,1999545260,L3_K
1,L0,GATE_HOLD,1999545260,G0_HOLD
1,L1,STEP_NORM,935511522,L1_N
1,L2,FLOW,935511522,L2_F
1,L3,KEEP,935511522,L3_K
2,L0,GATE_HOLD,935511522,G0_HOLD
2,L1,STEP_NORM,84265697,L1_N
2,L2,FLOW,84265697,L2_F
2,L3,KEEP,84265697,L3_K
3,L0,GATE_HOLD,84265697,G0_HOLD
3,L1,STEP_NORM,1917754741,L1_N
3,L2,FLOW,1917754741,L2_F
3,L3,KEEP,1917754741,L3_K
4,L0,GATE_HOLD,1917754741,G0_HOLD
4,L1,STEP_NORM,485580410,L1_N
4,L2,FLOW,485580410,L2_F
4,L3,KEEP,485580410,L3_K
5,L0,GATE_HOLD,485580410,G0_HOLD
5,L1,STEP_NORM,1777013660,L1_N
5,L2,FLOW,1777013660,L2_F
5,L3,KEEP,1777013660,L3_K
6,L0,GATE_HOLD,1777013660,G0_HOLD
6,L1,STEP_NORM,2142867223,L1_N
6,L2,FLOW,2142867223,L2_F
6,L3,KEEP,2142867223,L3_K
7,L0,GATE_HOLD,2142867223,G0_HOLD
7,L1,STEP_NORM,1852152951,L1_N
7,L2,FLOW,1852152951,L2_F
7,L3,EXIT,1852152951,L3_E
