step,layer,event,x,gate
0,L0,GATE_HOLD,1467758542,G0_HOLD
0,L1,STEP_NORM,272166481,L1_N
0,L2,FLOW,272166481,L2_F
0,L3,KEEP,272166481,L3_K
1,L0,GATE_HOLD,272166481,G0_HOLD
1,L1,STEP_NORM,612404761,L1_N
1,L2,FLOW,612404761,L2_F
1,L3,KEEP,612404761,L3_K
2,L0,GATE_HOLD,612404761,G0_HOLD
2,L1,STEP_NORM,1985906242,L1_N
2,L2,FLOW,1985906242,L2_F
2,L3,KEEP,1985906242,L3_K
3,L0,GATE_HOLD,1985906242,G0_HOLD
3,L1,STEP_NORM,1278455224,L1_N
3,L2,FLOW,1278455224,L2_F
3,L3,KEEP,1278455224,L3_K
4,L0,GATE_HOLD,1278455224,G0_HOLD
4,L1,STEP_NORM,1161785079,L1_N
4,L2,FLOW,1161785079,L2_F
4,L3,KEEP,1161785079,L3_K
5,L0,GATE_HOLD,1161785079,G0_HOLD
5,L1,STEP_NORM,1507584203,L1_N
5,L2,FLOW,1507584203,L2_F
5,L3,KEEP,1507584203,L3_K
6,L0,GATE_HOLD,1507584203,G0_HOLD
6,L1,STEP_NORM,1536319504,L1_N
6,L2,FLOW,1536319504,L2_F
6,L3,KEEP,1536319504,L3_K
7,L0,GATE_HOLD,1536319504,G0_HOLD
7,L1,STEP_NORM,1928867442,L1_N
7,L2,FLOW,1928867442,L2_F
7,L3,KEEP,1928867442,L3_K
8,L0,GATE_HOLD,1928867442,G0_HOLD
8,L1,STEP_NORM,1878977069,L1_N
8,L2,FLOW,1878977069,L2_F
8,L3,KEEP,1878977069,L3_K
9,L0,GATE_PASS,1878977069,G0_OK
9,L1,STEP_NORM,1722929869,L1_N
9,L2,FLOW,1722929869,L2_F
9,L3,KEEP,1722929869,L3_K
10,L0,GATE_HOLD,1722929869,G0_HOLD
10,L1,STEP_NORM,2139070190,L1_N
10,L2,FLOW,2139070190,L2_F
10,L3,KEEP,2139070190,L3_K
11,L0,GATE_PASS,2139070190,G0_OK
11,L1,STEP_NORM,98014972,L1_N
11,L2,FLOW,98014972,L2_F
11,L3,KEEP,98014972,L3_K
12,L0,GATE_HOLD,98014972,G0_HOLD
12,L1,STEP_NORM,1874098419,L1_N
12,L2,FLOW,1874098419,L2_F
12,L3,KEEP,1874098419,L3_K
13,L0,GATE_HOLD,1874098419,G0_HOLD
13,L1,STEP_NORM,1269035295,L1_N
13,L2,FLOW,1269035295,L2_F
13,L3,KEEP,1269035295,L3_K
14,L0,GATE_HOLD,1269035295,G0_HOLD
14,L1,STEP_NORM,88048604,L1_N
14,L2,FLOW,88048604,L2_F
14,L3,KEEP,88048604,L3_K
15,L0,GATE_PASS,88048604,G0_OK
15,L1,STEP_NORM,1851823190,L1_N
15,L2,FLOW,1851823190,L2_F
15,L3,KEEP,1851823190,L3_K
16,L0,GATE_HOLD,1851823190,G0_HOLD
16,L1,STEP_NORM,2094384201,L1_N
16,L2,FLOW,2094384201,L2_F
16,L3,KEEP,2094384201,L3_K
17,L0,GATE_HOLD,2094384201,G0_HOLD
17,L1,STEP_NORM,575224001,L1_N
17,L2,FLOW,575224001,L2_F
17,L3,KEEP,575224001,L3_K
18,L0,GATE_HOLD,575224001,G0_HOLD
18,L1,STEP_NORM,1321099226,L1_N
18,L2,FLOW,1321099226,L2_F
18,L3,KEEP,1321099226,L3_K
19,L0,GATE_HOLD,1321099226,G0_HOLD
19,L1,STEP_NORM,81765248,L1_N
19,L2,FLOW,81765248,L2_F
19,L3,KEEP,81765248,L3_K
20,L0,GATE_PASS,81765248,G0_OK
20,L1,STEP_NORM,738854191,L1_N
20,L2,FLOW,738854191,L2_F
20,L3,KEEP,738854191,L3_K
21,L0,GATE_HOLD,738854191,G0_HOLD
21,L1,STEP_NORM,1060302515,L1_N
21,L2,FLOW,1060302515,L2_F
21,L3,KEEP,1060302515,L3_K
22,L0,GATE_HOLD,1060302515,G0_HOLD
22,L1,STEP_NORM,2128385000,L1_N
22,L2,FLOW,2128385000,L2_F
22,L3,KEEP,2128385000,L3_K
23,L0,GATE_HOLD,2128385000,G0_HOLD
23,L1,STEP_NORM,107745658,L1_N
23,L2,FLOW,107745658,L2_F
23,L3,KEEP,107745658,L3_K
24,L0,GATE_HOLD,107745658,G0_HOLD
24,L1,STEP_NORM,666043557,L1_N
24,L2,FLOW,666043557,L2_F
24,L3,KEEP,666043557,L3_K
25,L0,GATE_HOLD,666043557,G0_HOLD
25,L1,STEP_NORM,1866573813,L1_N
25,L2,FLOW,1866573813,L2_F
25,L3,KEEP,1866573813,L3_K
26,L0,GATE_HOLD,1866573813,G0_HOLD
26,L1,STEP_NORM,2090832134,L1_N
