step,layer,event,x,gate
0,L0,GATE_PASS,1467758541,G0_OK
0,L1,STEP_NORM,1316134884,L1_N
0,L2,FLOW,1316134884,L2_F
0,L3,KEEP,1316134884,L3_K
1,L0,GATE_HOLD,1316134884,G0_HOLD
1,L1,STEP_NORM,1641935792,L1_N
1,L2,FLOW,1641935792,L2_F
1,L3,KEEP,1641935792,L3_K
2,L0,GATE_HOLD,1641935792,G0_HOLD
2,L1,STEP_NORM,1977665933,L1_N
2,L2,FLOW,1977665933,L2_F
2,L3,KEEP,1977665933,L3_K
3,L0,GATE_HOLD,1977665933,G0_HOLD
3,L1,STEP_NORM,1580019367,L1_N
3,L2,FLOW,1580019367,L2_F
3,L3,KEEP,1580019367,L3_K
4,L0,GATE_HOLD,1580019367,G0_HOLD
4,L1,STEP_NORM,1503536826,L1_N
4,L2,FLOW,1503536826,L2_F
4,L3,KEEP,1503536826,L3_K
5,L0,GATE_HOLD,1503536826,G0_HOLD
5,L1,STEP_NORM,100634834,L1_N
5,L2,FLOW,100634834,L2_F
5,L3,KEEP,100634834,L3_K
6,L0,GATE_HOLD,100634834,G0_HOLD
6,L1,STEP_NORM,1079840011,L1_N
6,L2,FLOW,1079840011,L2_F
6,L3,KEEP,1079840011,L3_K
7,L0,GATE_HOLD,1079840011,G0_HOLD
7,L1,STEP_NORM,588926801,L1_N
7,L2,FLOW,588926801,L2_F
7,L3,KEEP,588926801,L3_K
8,L0,GATE_HOLD,588926801,G0_HOLD
8,L1,STEP_NORM,1610930976,L1_N
8,L2,REFUSAL,1610930976,L2_R
8,L2,REROUTE,1610926735,L2_RR
8,L3,KEEP,1610926735,L3_K
9,L0,GATE_HOLD,1610926735,G0_HOLD
9,L1,STEP_NORM,1364998279,L1_N
9,L2,FLOW,1364998279,L2_F
9,L3,KEEP,1364998279,L3_K
10,L0,GATE_HOLD,1364998279,G0_HOLD
10,L1,STEP_NORM,1021811488,L1_N
10,L2,FLOW,1021811488,L2_F
10,L3,KEEP,1021811488,L3_K
11,L0,GATE_HOLD,1021811488,G0_HOLD
11,L1,STEP_NORM,446772294,L1_N
11,L2,FLOW,446772294,L2_F
11,L3,KEEP,446772294,L3_K
12,L0,GATE_HOLD,446772294,G0_HOLD
12,L1,STEP_NORM,682950005,L1_N
12,L2,FLOW,682950005,L2_F
12,L3,KEEP,682950005,L3_K
13,L0,GATE_PASS,682950005,G0_OK
13,L1,STEP_NORM,935852153,L1_N
13,L2,FLOW,935852153,L2_F
13,L3,KEEP,935852153,L3_K
14,L0,GATE_HOLD,935852153,G0_HOLD
14,L1,STEP_NORM,342888750,L1_N
14,L2,FLOW,342888750,L2_F
14,L3,KEEP,342888750,L3_K
15,L0,GATE_HOLD,342888750,G0_HOLD
15,L1,STEP_NORM,1351072832,L1_N
15,L2,FLOW,1351072832,L2_F
15,L3,KEEP,1351072832,L3_K
16,L0,GATE_HOLD,1351072832,G0_HOLD
16,L1,STEP_NORM,2124877547,L1_N
16,L2,FLOW,2124877547,L2_F
16,L3,KEEP,2124877547,L3_K
17,L0,GATE_HOLD,2124877547,G0_HOLD
17,L1,STEP_NORM,141515707,L1_N
17,L2,FLOW,141515707,L2_F
17,L3,KEEP,141515707,L3_K
18,L0,GATE_HOLD,141515707,G0_HOLD
18,L1,STEP_NORM,1929343052,L1_N
18,L2,FLOW,1929343052,L2_F
18,L3,KEEP,1929343052,L3_K
19,L0,GATE_HOLD,1929343052,G0_HOLD
19,L1,STEP_ACCEL,1908563978,L1_A
19,L2,FLOW,1908563978,L2_F
19,L3,KEEP,1908563978,L3_K
20,L0,GATE_HOLD,1908563978,G0_HOLD
20,L1,STEP_NORM,2059556849,L1_N
20,L2,FLOW,2059556849,L2_F
20,L3,KEEP,2059556849,L3_K
21,L0,GATE_HOLD,2059556849,G0_HOLD
21,L1,STEP_NORM,821118797,L1_N
21,L2,FLOW,821118797,L2_F
21,L3,KEEP,821118797,L3_K
22,L0,GATE_HOLD,821118797,G0_HOLD
22,L1,STEP_NORM,218315130,L1_N
22,L2,FLOW,218315130,L2_F
22,L3,KEEP,218315130,L3_K
23,L0,GATE_PASS,218315130,G0_OK
23,L1,STEP_NORM,1950289060,L1_N
23,L2,FLOW,1950289060,L2_F
23,L3,KEEP,1950289060,L3_K
24,L0,GATE_HOLD,1950289060,G0_HOLD
24,L1,STEP_NORM,529187207,L1_N
24,L2,FLOW,529187207,L2_F
24,L3,KEEP,529187207,L3_K
25,L0,GATE_HOLD,529187207,G0_HOLD
25,L1,STEP_NORM,712372271,L1_N
25,L2,FLOW,712372271,L2_F
25,L3,KEEP,712372271,L3_K
26,L0,GATE_HOLD,712372271,G0_HOLD
26,L1,STEP_NORM,918551992,L1_N
26,L2,FLOW,918551992,L2_F
26,L3,KEEP,918551992,L3_K
27,L0,GATE_HOLD,918551992,G0_HOLD
27,L1,STEP_NORM,1130200846,L1_N
27,L2,FLOW,1130200846,L2_F
27,L3,KEEP,1130200846,L3_K
28,L0,GATE_HOLD,1130200846,G0_HOLD
28,L1,STEP_NORM,2119812269,L1_N
28,L2,FLOW,2119812269,L2_F
28,L3,EXIT,2119812269,L3_E
